Employee_Name, Employee_Number, Sales_Amount, Sale_Close_Date
John,1,$100,000,8/1/2022
Melissa,2,$250,000,8/1/2022
Edward,3,$50,000,8/2/2022
Samantha,4,$200,000,8/3/2022
Ryan,5,$30,000,8/3/2022
Lizzy,6,$20,000,8/3/2022
Jose,7,$500,000,8/3/2022
Irma,8,$300,000,8/4/2022
Paul,9,$350,000,8/4/2022
Sandy,10,$200,000,8/5/2022
John,11,$1,000,000,8/1/2022
Melissa,20,$250,000,8/1/2022
Edward,30,$500,000,8/2/2022
Samantha,40,$20,000,8/20/2022
Ryan,50,$300,000,8/13/2022
Lizzy,60,$205,000,8/23/2022
Jose,70,$50,000,8/13/2022
Irma,80,$30,000,8/14/2022
Paul,90,$50,000,8/14/2022
Sandy,29,$220,000,8/15/2022
John,1,$1,000,000,8/12/2022
Melissa,2,$450,000,8/12/2022
Edward,3,$500,000,8/22/2022
Samantha,4,$200,000,8/27/2022
Ryan,5,$330,000,8/13/2022
Lizzy,6,$205,000,8/30/2022
Jose,7,$150,000,8/30/2022
Irma,8,$700,000,8/24/2022
Paul,9,$30,000,8/24/2022
Sandy,10,$800,000,8/25/2022
John,1,$1,000,000,8/12/2022
Melissa,2,$450,000,8/12/2022
Edward,3,$500,000,8/22/2022
Samantha,4,$200,000,8/27/2022
Ryan,5,$330,000,8/13/2022
Lizzy,6,$205,000,8/30/2022
Jose,7,$150,000,8/30/2022
Irma,8,$700,000,8/24/2022
Paul,9,$30,000,8/24/2022
Sandy,10,$800,000,8/25/2022
John,1,$1,000,000,8/23/2022
Melissa,2,$450,000,8/22/2022
Edward,3,$500,000,8/22/2022
Samantha,4,$200,000,8/17/2022
Ryan,5,$330,000,8/10/2022
Lizzy,6,$205,000,8/10/2022
Jose,7,$150,000,8/10/2022
Irma,8,$700,000,8/14/2022
Paul,9,$30,000,8/14/2022
Sandy,10,$800,000,8/5/2022
John,1,$10,000,8/22/2022
Melissa,2,$45,000,8/22/2022
Edward,3,$50,000,8/12/2022
Samantha,4,$20,000,8/17/2022
Ryan,5,$33,000,8/16/2022
Lizzy,6,$20,000,8/10/2022
Jose,7,$15,000,8/10/2022
Irma,8,$70,000,8/14/2022
Paul,9,$3,000,8/30/2022
Sandy,10,$8,000,8/30/2022
John,1,$100,000,8/1/2022
Melissa,2,$250,000,8/1/2022
Edward,3,$50,000,8/2/2022
Samantha,4,$200,000,8/3/2022
Ryan,5,$30,000,8/3/2022
Lizzy,6,$20,000,8/3/2022
Jose,7,$500,000,8/3/2022
Irma,8,$300,000,8/4/2022
Paul,9,$350,000,8/4/2022
Sandy,10,$200,000,8/5/2022
John,11,$1,000,000,8/1/2022
Melissa,20,$250,000,8/1/2022
Edward,30,$500,000,8/2/2022
Samantha,40,$20,000,8/20/2022
Ryan,50,$300,000,8/13/2022
Lizzy,60,$205,000,8/23/2022
Jose,70,$50,000,8/13/2022
Irma,80,$30,000,8/14/2022
Paul,90,$50,000,8/14/2022
Sandy,29,$220,000,8/15/2022
John,1,$1,000,000,8/12/2022
Melissa,2,$450,000,8/12/2022
Edward,3,$500,000,8/22/2022
Samantha,4,$200,000,8/27/2022
Ryan,5,$330,000,8/13/2022
Lizzy,6,$205,000,8/30/2022
Jose,7,$150,000,8/30/2022
Irma,8,$700,000,8/24/2022
Paul,9,$30,000,8/24/2022
Sandy,10,$800,000,8/25/2022
John,1,$1,000,000,8/12/2022
Melissa,2,$450,000,8/12/2022
Edward,3,$500,000,8/22/2022
Samantha,4,$200,000,8/27/2022
Ryan,5,$330,000,8/13/2022
Lizzy,6,$205,000,8/30/2022
Jose,7,$150,000,8/30/2022
Irma,8,$700,000,8/24/2022
Paul,9,$30,000,8/24/2022
Sandy,10,$800,000,8/25/2022
John,1,$1,000,000,8/23/2022
Melissa,2,$450,000,8/22/2022
Edward,3,$500,000,8/22/2022
Samantha,4,$200,000,8/17/2022
Ryan,5,$330,000,8/10/2022
Lizzy,6,$205,000,8/10/2022
Jose,7,$150,000,8/10/2022
Irma,8,$700,000,8/14/2022
Paul,9,$30,000,8/14/2022
Sandy,10,$800,000,8/5/2022
John,1,$10,000,8/22/2022
Melissa,2,$45,000,8/22/2022
Edward,3,$50,000,8/12/2022
Samantha,4,$20,000,8/17/2022
Ryan,5,$33,000,8/16/2022
Lizzy,6,$20,000,8/10/2022
Jose,7,$15,000,8/10/2022
Irma,8,$70,000,8/14/2022
Paul,9,$3,000,8/30/2022
Sandy,10,$8,000,8/30/2022
